plate,well,control,gene_symbol,nuclear_segmentation,category,label,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
1,J02,sample,POLE,correct,Replication,yes,2.54,0.32,-0.37,-8.12,7.99,3.47,-0.49,-1.77,-1.3,2.52,156.115139,215.7357793,663,202,62.37028658,52.65841584,0.504749329,0.548451018,32.88838612,23.42079208,139.6576589,185.503526,288,651,64.56944444,40.30491551,0.499119884,0.540270183,30.21180556,26.86789555,1.27,1.19,0.795,0.584,1.06,0.99,0.986,1.08,1,0.728,1.22,1.1,0.828,0.789,1.09,1.09,0.994,1.01,0.971,0.851,11.408,4.146,-0.88,-1.581,2.808,0.019,-2.004,3.976,-0.001,-7.593,4.567,2.79,-0.101,-1.957,2.28,0.627,-0.589,1.057,-0.735,-8.643,0.5508361825443205,0.2658721497261419,4.837317490097171,0.9588367952889584,0.3733523804664971,0.42992092296142087,1.0005560953789647,2.0640446942835324,0.5190163773909259,0.7424621202458754
1,G05,sample,RAD51,correct,Replication,yes,1.71,0.73,-3.45,-5.41,6.33,7.43,-0.6,-1.63,1.33,2.28,149.2176817,244.3003961,486,143,61.9845679,52.20629371,0.524721126,0.552099495,29.07613169,24.77622378,148.5721209,211.0579536,344,472,63.51162791,43.60169492,0.508008228,0.541196064,26.76744186,28.72669492,1.22,1.35,0.583,0.413,1.05,0.982,1.03,1.08,0.884,0.77,1.3,1.25,0.989,0.572,1.08,1.18,1.01,1.01,0.86,0.91,7.381,7.218,-2.25,-0.588,2.038,-1.055,2.402,3.921,-4.429,-6.192,5.273,7.633,1.059,-2.673,1.388,2.508,0.25,0.63,-2.473,-4.628,2.3398163389462856,1.4743176387739516,1.4905810947412426,0.2934493141924172,0.4596194077712558,2.519421461367669,1.5216937931134504,2.3270884168849277,1.3831008640008873,1.1059150057757603
3,K14,sample,RPA2,correct,Replication,yes,1.68,2.06,-2.75,-5.64,16.38,1.15,-3.38,-0.63,0.46,1.07,174.3891056,180.8813868,311,166,57.89710611,56.02409639,0.528249391,0.539206241,35.8488746,25.21686747,176.5823935,185.3689302,471,682,62.83757962,39.23680352,0.505741163,0.532172022,28.45859873,28.97800587,1.4,1.02,0.398,0.431,1.02,1.07,1.01,1.06,0.993,0.772,1.44,1.09,0.535,0.879,1.05,1.05,1,0.999,0.861,0.923,14.937,0.443,-3.057,-0.883,1.487,2.323,0.741,3.168,-0.926,-7.626,17.819,1.847,-3.697,-0.385,1.882,1.802,0.173,-1.031,-4.566,-3.663,0.45254833995939053,0.3521391770309007,2.0378817433796295,0.9927779207859126,0.27930717856868614,0.3684026329981912,0.401636652,2.969141374202313,2.5738686835190325,2.802264173842288
3,C10,sample,TICRR,correct,Replication,yes,4.32,2.63,-5.2,-12.5,16.85,8.1,-3.69,-2.22,2.64,0.62,175.8052002,213.531387,362,115,61.17127072,53.40434783,0.542486221,0.524577972,30.25690608,19.08695652,177.8109057,228.0995565,381,403,65.49212598,43.94665012,0.517168014,0.535564194,27.29658793,26.32506203,1.41,1.2,0.464,0.298,1.07,1.02,1.03,1.03,0.838,0.585,1.45,1.35,0.432,0.519,1.1,1.18,1.03,1,0.826,0.839,15.342,5.622,-3.698,-1.456,3.255,0.385,2.827,0.998,-3.898,-16.053,18.36,10.57,-3.679,-2.986,5.38,4.877,2.461,0.25,-6.499,-8.942,0.013435029,1.081873375215418,2.1340482656209994,3.4987643533110377,1.5026019100214134,3.176323661089971,0.2588010819142765,0.5289158723275376,1.8391847378662096,5.028236321
1,J16,sample,TOP2A,correct,Replication,yes,-2.01,-3.11,7.57,-6.32,6.23,-1.15,-0.66,-1.74,6.25,7.86,151.3653461,168.3866126,496,167,56.1421371,43.01197605,0.552781749,0.588488557,41.59072581,24.26946108,148.5155465,175.5717268,417,486,56.91726619,35.57098765,0.546666367,0.570381555,39.08633094,27.64403292,1.23,0.932,0.595,0.483,0.951,0.809,1.08,1.15,1.26,0.754,1.3,1.04,1.2,0.589,0.964,0.96,1.09,1.06,1.26,0.876,7.39,-2.434,-1.707,-0.964,-2.98,-4.714,7.804,7.321,9.225,-6.033,5.076,0.133,0.384,-2.513,-1.037,-1.513,4.702,8.406,5.911,-6.611,1.478560279461071,1.095308404057962,1.636245091665671,1.8151431073058677,1.3739084758454618,2.2634488065781393,2.1934452352406706,0.7672108575874046,2.3433518728522187,0.4087077195258241
2,C10,sample,HNRNPC,correct,Transcription,yes,2.97,2.53,-1.31,-2.91,10.15,-0.68,-1.94,-0.83,-2.99,-0.99,149.3889926,171.5319403,506,269,59.12648221,55.75092937,0.510244633,0.508154538,33.3972332,29.7732342,161.7573861,168.1136939,593,822,62.85328836,37.89476886,0.485166107,0.530897132,31.38448567,30.63868613,1.22,0.979,0.628,0.695,1.03,1.08,0.978,0.996,0.934,0.921,1.33,1.02,0.745,0.946,1.06,1.03,0.96,0.994,0.962,0.964,8.03,-1.134,-2.704,-1.453,1.542,3.378,-2.345,-0.657,-1.198,-3.442,12.272,-0.224,-1.177,-0.199,4.396,1.679,-3.638,-1.316,-1.416,-2.381,1.0797520548718582,0.8867119036079306,2.999546965793335,0.6434671708797581,2.0180827535064068,1.2013744212359443,0.9142890680742056,0.46598336880193486,0.15414927829866734,0.7502402948389272
1,I08,sample,POLR1B,correct,Transcription,yes,-5.07,-2.9,-2.95,-2.44,0.27,1.8,-2.09,-1.42,6.27,3.12,124.4188193,206.2147411,402,153,48.00995025,42.33986928,0.569323062,0.564543734,28.03482587,28.52941176,116.6940384,179.9773248,92,604,58.5923913,32.9544702,0.51295867,0.551949193,30.29347826,29.56622517,1.02,1.14,0.482,0.442,0.813,0.796,1.11,1.11,0.852,0.887,1.02,1.06,0.264,0.732,0.993,0.89,1.02,1.03,0.973,0.937,0.109,2.134,-2.716,-1.303,-10.225,-4.031,12.114,4.343,-5.065,-2.452,0.432,1.465,-1.474,-1.534,0.092,-1.763,0.42,1.891,-0.836,-2.419,0.8782266222336922,0.16334166645409254,0.22839549032325485,0.47305443661380014,7.295220662,1.6037181797310898,8.268906699195487,1.7338258274694145,2.990354578,0.023334524
2,E18,sample,SUPT5H,correct,Transcription,yes,-6.67,-4.15,-1.55,-7.84,-3.81,-1.93,-1.63,-2.5,5.39,5.42,110.5513708,147.7478463,411,98,48.52919708,38.60204082,0.549025297,0.582395375,34.19951338,24.01020408,112.7198183,166.7721444,655,597,52.68244275,35.39279732,0.536168546,0.536660343,31.25954198,29.20435511,0.901,0.844,0.51,0.253,0.846,0.746,1.05,1.14,0.957,0.743,0.93,1.01,0.822,0.687,0.888,0.964,1.06,1,0.958,0.919,-5.042,-3.755,-3.088,-2.417,-6.636,-7.67,4.921,10.851,-1.585,-10.166,-2.579,-0.108,-0.165,-2.576,-6.701,-0.626,5.85,-0.006,-1.513,-5.511,2.0668731214082783,0.11242997820866124,1.7416040020624663,2.5788184309873388,0.045961941,4.980860166678041,0.6569021997223022,7.677058323342347,0.050911688,3.2915820664233792
2,C07,sample,ZNRD1,correct,Transcription,yes,-5.41,-1.15,-0.61,-3.66,1.23,4.03,-0.56,-2.51,5.47,3.33,126.9789985,200.2146649,519,171,51.15510597,46.57017544,0.55663065,0.536218663,34.51445087,28.01169591,126.5448067,194.5867259,640,520,52.221875,35.37115385,0.540503237,0.547015133,31.4359375,30.44807692,1.04,1.14,0.644,0.442,0.891,0.9,1.07,1.05,0.966,0.867,1.04,1.17,0.804,0.599,0.88,0.964,1.07,1.02,0.964,0.958,1.527,2.101,-0.673,-1.912,-3.998,-2.13,4.527,3.788,-0.297,-5.066,0.94,5.963,-0.453,-3.107,-6.826,-0.163,6.403,2.879,-0.918,-2.261,0.1555634918610405,0.8449926035179245,0.4150716805565034,2.7308463889424464,1.999697977195556,1.390879038593939,1.3265323215059628,0.6427600640985716,0.4391133111168461,1.9834345212282656
2,I13,sample,CDCA5,correct,Chromatin structure,no,-3.24,1.76,1.16,-7.37,2.94,-3.01,-1.42,-1.76,3.55,2.76,133.4682581,140.4614324,512,158,53.04394531,52.87341772,0.54150605,0.539358789,39.23242188,24.85443038,134.5519255,153.3802378,552,706,56.62681159,42.85481586,0.525242396,0.535200941,34.0634058,28.55949008,1.09,0.802,0.636,0.408,0.924,1.02,1.04,1.06,1.1,0.769,1.11,0.926,0.693,0.813,0.955,1.17,1.04,1,1.04,0.899,2.761,-3.929,-1.781,-2.128,-2.763,-0.731,3.321,5.136,1.951,-8.471,3.119,-2.092,-1.055,-1.391,-3.715,4.258,3.783,0.375,0.362,-6.262,0.5133595231414335,0.5211376977344856,0.25314422766478406,1.2989551570396876,0.6731656556895932,3.5277557313396852,0.3266833329081848,3.366535385229153,1.123592675305424,1.5619988796410835
4,F18,sample,PTTG1,correct,Chromatin structure,no,-6.59,-2.37,8.23,-3.11,4.65,-0.8,-1.57,-1.47,6.84,8.09,145.0809332,134.4470087,529,102,48.3610586,43.28921569,0.56381461,0.597334079,41.76748582,26.17647059,140.1448243,176.2909022,672,521,52.92559524,36.74664107,0.546748401,0.571108841,39.98958333,30.20729367,1.16,0.807,0.677,0.436,0.836,0.813,1.09,1.16,1.24,0.825,1.15,1.03,0.714,0.682,0.898,0.971,1.08,1.07,1.21,0.954,5.395,-2.521,-1.542,-0.691,-7.948,-3.689,7.759,7.025,7.735,-3.937,3.905,0.916,-1.605,-2.252,-5.24,-1.06,5.917,9.15,8.729,-2.282,0.044547727,1.1037936854322006,1.0535891039679557,2.430326006938164,1.914845163453171,1.8589837277394337,1.3024906909456209,1.5026019100214134,0.7028641404994275,1.170261722863736
4,B18,sample,SMC4,correct,Chromatin structure,no,0.9,3.06,-3.17,-5.84,-0.29,3.74,-1.39,-1.79,2.57,-1.39,125.066253,179.0601732,544,113,60.56433824,53.88053097,0.534165119,0.515287953,28.81617647,24.73451327,126.430654,205.4283728,762,416,61.20472441,49.78605769,0.517902814,0.515287578,29.50393701,26.96153846,1,1.08,0.697,0.483,1.05,1.01,1.03,1,0.856,0.779,1.04,1.21,0.81,0.545,1.04,1.32,1.02,0.969,0.896,0.851,-0.824,2.247,-1.479,-0.473,0.522,-0.007,3.572,-0.075,-2.414,-4.614,0.234,5.226,-1.3,-3.111,1.272,6.118,1.576,-2.71,-3.917,-7.075,0.12657211383239203,1.8653476887701128,0.7481189744953672,2.106471101154725,0.5303300858899106,4.331029034767604,1.4113851352483489,1.8632263684265529,1.062781492123381,1.7401897885000936
4,L19,sample,NCL,correct,Nucleolus,no,-0.98,-3.07,-3.45,-1.71,-0.09,0.24,-1.44,-0.14,3.72,1.8,122.4153565,181.3781067,467,275,56.01927195,44.15272727,0.553819962,0.537203268,31.11777302,29.49818182,123.4041981,173.040425,775,615,57.44967742,33.98536585,0.523851617,0.543263974,29.81419355,30.19349593,0.982,1.09,0.598,1.18,0.969,0.829,1.07,1.04,0.925,0.929,1.01,1.02,0.824,0.805,0.975,0.898,1.03,1.02,0.905,0.953,-0.184,0.815,-1.906,-0.28,-1.091,-3.116,4.915,1.41,-3.772,-1.703,0,-0.342,-0.966,0,-0.868,-3.034,2.528,2.187,-3.127,-1.722,0.6646803743153546,0.19798989873223333,0.13010764773832473,0.8181225458328355,0.15768481220460007,0.057982756,1.687863886692289,0.5494219689819474,0.4560838738653231,0.013435029
1,E11,sample,AURKA,incorrect,Other,no,-3.84,0.53,-6.62,-8.74,1.5,0.04,-2.24,-2.35,6.59,1.14,133.829559,178.9998249,345,162,54.45362319,49.07407407,0.577197352,0.539617392,26.7942029,20.75308642,123.4874651,170.5708748,248,601,50.65927419,41.99251248,0.523158708,0.534792137,25.03629032,27.01164725,1.09,0.991,0.414,0.468,0.922,0.923,1.13,1.06,0.815,0.645,1.08,1.01,0.713,0.728,0.858,1.13,1.04,0.997,0.805,0.856,2.124,-0.34,-3.621,-2.025,-4.193,-2.043,11.757,2.889,-7.9,-10.129,0.867,0.416,-0.86,-2.675,-3.481,3.113,1.426,-0.614,-5.348,-7.36,1.9523218228560577,0.4596194077712558,0.8888332239514903,0.5345727265770299,0.5034600282048216,3.645842564,7.305120156438222,2.476995054496476,1.8045365055880696,1.9579786771055496
2,I08,sample,AURKB,incorrect,Other,no,-7.99,-2.37,-6.39,-13.99,-6.82,-4.75,-1.22,-2.26,12.65,13.87,109.8660677,146.8002681,552,197,45.66123188,43.68781726,0.572645031,0.58627485,33.86231884,22.89847716,94.87681402,137.9381408,525,517,51.37714286,35.19825919,0.593298766,0.593046473,23.49333333,23.33655706,0.896,0.838,0.685,0.509,0.796,0.844,1.1,1.15,0.947,0.708,0.782,0.833,0.659,0.595,0.866,0.959,1.17,1.11,0.72,0.735,-4.663,-3.376,-1.51,-1.258,-7.994,-3.767,8.378,12.434,-2.533,-10.677,-8.984,-6.115,-0.932,-3.26,-7.987,-0.966,16.924,15.311,-10.247,-17.293,0.4087077195258244,1.4156277759354678,3.055408401507072,1.9367654736699536,0.004949747,1.9806060941035195,6.042934552020235,2.0343462094736977,5.454621710073027,4.6782184643301985
4,K06,sample,BIRC5,incorrect,Other,no,-7.47,-1.66,-0.99,-5.86,-0.44,-3.51,-2.43,-1.31,10.23,8.7,119.2105511,132.298569,404,123,47.18564356,40.6504065,0.585044356,0.591013889,32.06435644,23.36585366,124.9752691,159.9506659,532,499,52.82800752,37.74048096,0.5685058,0.58564605,32.05639098,27.14228457,0.956,0.794,0.517,0.526,0.816,0.763,1.13,1.15,0.953,0.736,1.03,0.938,0.565,0.653,0.897,0.997,1.12,1.1,0.973,0.857,-1.847,-4.604,-2.562,-1.345,-9.294,-3.339,10.736,6.202,-1.413,-5.808,0.959,-2.411,-2.303,-1.273,-5.639,0.018,9.724,11.189,-0.56,-5.917,0.18314065632731577,0.050911688,1.9841416280094524,1.5506851711420988,2.5844752852368313,2.373757464,0.7155920625607863,3.5263415177773125,0.603162084,0.077074639
4,B07,sample,BUB1B,incorrect,Other,no,-3.47,-1.58,-2.33,-3.19,1.12,0.51,-1.97,-0.72,3.28,2.37,130.9123265,175.0054795,348,135,52.0316092,48.0962963,0.556349199,0.531591377,30.3591954,26.54074074,132.2025806,178.8805398,542,488,54.67343173,36.0204918,0.525666056,0.550415338,30.44280443,28.94262295,1.05,1.05,0.446,0.577,0.9,0.903,1.07,1.03,0.902,0.836,1.09,1.05,0.576,0.639,0.928,0.952,1.04,1.04,0.924,0.914,0.571,0.194,-2.418,-0.35,-4.406,-1.233,5.421,0.33,-1.941,-2.657,1.665,0.826,-1.515,-1.096,-2.538,-1.921,1.143,4.405,-2.721,-3.724,0.6385174234114526,0.5275016587651645,0.7735748186180831,0.446891486,1.3208754672564706,0.48648946545634464,3.0250028099160504,2.8814601333351813,0.5515432893255071,0.7544829355260463
4,M16,sample,CCNB1,incorrect,Other,no,-11.7,-2.91,-7.32,-3.38,-5.09,-4.37,-4.61,-2.28,12.93,3.99,109.6837012,116.8053343,76,94,37.94736842,36.5106383,0.631399908,0.562857489,29.25,26.10638298,108.6575575,159.2047268,284,428,50.13028169,38.77336449,0.557250609,0.550845166,26.69366197,29.14485981,0.88,0.701,0.0973,0.402,0.656,0.685,1.22,1.09,0.869,0.823,0.894,0.934,0.302,0.56,0.851,1.02,1.1,1.04,0.81,0.92,-6.063,-6.708,-4.925,-1.939,-15.136,-5.828,17.346,3.851,-6.482,-3.644,-4.114,-2.031,-4.304,-2.613,-8.26,0,8.512,4.124,-8.16,-3.122,0.4391133111168457,0.47658997051973295,1.378151116532581,3.3071384156094825,4.862066227,4.121018321,6.2465813050019605,0.1930401512639273,1.1865251788310267,0.36910973977937794
4,D07,sample,CDCA8,incorrect,Other,no,-4.25,-1.2,-5.35,-5.6,-1.67,-1.88,-2.6,-1.17,8.93,8.82,118.1712452,157.8570185,356,161,49.38764045,43.98757764,0.576646096,0.593960421,29.98314607,25.55279503,114.4607641,153.9234176,414,396,53.77898551,37.54545455,0.577890093,0.58475495734485206,26.22222222,25.58838384,0.948,0.948,0.456,0.688,0.854,0.826,1.11,1.15,0.891,0.805,0.941,0.903,0.44,0.518,0.913,0.992,1.14,1.1,0.796,0.808,-1.649,-1.112,-2.888,-0.82,-5.561,-2.578,8.576,5.732,-2.58,-3.761,-1.696,-2.641,-2.317,-1.513,-2.937,0.185,9.29,11.909,-8.116,-7.449,0.40375797205751845,0.4900249993622774,0.033234019,1.0811662684342311,1.8554481938335008,1.9537360364184304,0.504874242,4.367798587389305,3.914543140648727,2.607809809015987
1,O09,sample,CDK1,correct,Other,no,-0.64,0.26,-3.93,-9.1,6.59,5.26,-1.93,-4.06,6.47,6.1,148.8098255,218.1258376,375,113,56.82,50.11504425,0.554111356,0.56805675,29.64533333,23.99115044,146.0471669,197.2828072,258,309,57.7248062,41.73139159,0.551070052,0.555568205,26,26.01294498,1.21,1.21,0.45,0.327,0.962,0.942,1.08,1.11,0.901,0.746,1.28,1.17,0.741,0.374,0.978,1.13,1.1,1.04,0.835,0.824,9.016,4.634,-3.31,-2.554,-1.265,-1.72,7.807,7.51,-3.46,-8.065,4.17,5.877,-0.54,-5.571,-0.01,2.232,5.139,4.685,-4.396,-10.138,1.9586857838867369,2.133341158839814,3.4266394616300095,0.8789337290148782,0.8874190103891171,2.7944859992492357,1.8865608922057089,1.997576656851997,0.6618519471906085,1.4658323573997132
1,L06,sample,INCENP,incorrect,Other,no,-7.63,-3.15,-7.93,-6.23,-5.06,-3.01,-1.79,-1.11,10.47,5.54,97.54822255,143.5418245,351,164,46.63247863,43.01829268,0.597891391,0.567686464,25.24786325,21.28658537,109.1681251,161.7723642,345,694,51.6,34.03674352,0.540177457,0.560069043,24.04637681,29.3314121,0.796,0.794,0.421,0.474,0.79,0.809,1.17,1.11,0.768,0.662,0.954,0.957,0.991,0.841,0.874,0.919,1.08,1.04,0.773,0.929,-9.222,-4.415,-3.577,-1.224,-10.958,-4.962,17.105,5.938,-10.639,-8.594,-0.889,-1.598,0,-0.995,-4.3,-1.337,3.843,5.133,-5.211,-3.869,2.5293209563042804,0.16192745289171936,5.892320808,1.9919198026025045,4.707916949140033,2.5632620818012346,9.377650132095994,0.5692209588551705,3.8381756082805794,3.341079541106436
2,K16,sample,KANSL1,correct,Other,no,-3.15,-2.81,-0.21,-3.59,0.84,1.57,-0.96,-1.48,1.29,2.47,129.6368572,201.0409006,629,239,53.33306836,48.32845188,0.53791557,0.528404999,37.62321145,29.69874477,122.7296792,170.6502925,498,706,55.20582329,33.55736544,0.508941944,0.542193052,32.28915663,29.97875354,1.06,1.15,0.781,0.618,0.929,0.934,1.03,1.04,1.05,0.919,1.01,1.03,0.625,0.813,0.931,0.914,1.01,1.01,0.99,0.944,1.642,3.088,-0.605,-1.469,-2.176,-2.577,2.243,3.677,0.09,-3.549,0.028,0.062,-1.325,-1.485,-4.129,-3.051,0.328,1.267,-0.517,-3.634,0.5091168824543142,0.011313708,1.1412703448350876,2.139705119870493,1.380979543657327,0.33516861428242367,1.3541094859722385,1.7041273426595795,0.4292138161802343,0.060104076
3,L10,sample,KMT5A,correct,Other,no,2.72,-0.4,-2.99,-5.02,12.89,2.62,-2.52,-0.12,-0.15,0.32,166.4650648,198.9250385,433,229,58.12586605,50.70960699,0.536002321,0.5242321,35.01847575,26.81222707,163.5070833,178.3276753,567,739,62.88007055,34.06224628,0.499490939,0.532571312,29.24162257,29.36265223,1.33,1.12,0.555,0.594,1.02,0.968,1.02,1.03,0.97,0.821,1.34,1.05,0.644,0.952,1.05,0.912,0.991,0.999,0.885,0.936,12.203,4.202,-2.71,-0.39,1.86,-0.365,1.155,1.263,-1.93,-6.165,13.584,1.039,-2.327,0.146,3.585,-0.44,-1.459,-0.629,-4.059,-3.881,0.2708218971944477,0.3790092347159895,0.9765144648186224,2.236578749,1.2197591975467943,0.053033009,1.8483771260216353,1.337846030004948,1.5054303371461597,1.6150318882300747
4,L10,sample,PAFAH1B1,correct,Other,no,-3.47,-3.61,0.55,-2.48,0.24,-1.02,-1.59,-1.6,2.52,0.83,121.7479571,171.1826863,534,165,52.51872659,43.14242424,0.537178187,0.527830779,35.44194757,30.46060606,126.1374218,155.2942088,680,441,54.68161765,29.54648526,0.528316486,0.539370607,33.56323529,27.97505669,0.976,1.03,0.684,0.705,0.908,0.81,1.04,1.02,1.05,0.96,1.04,0.911,0.723,0.577,0.928,0.781,1.04,1.01,1.02,0.883,-0.271,-0.054,-1.299,-0.284,-3.452,-2.996,2.234,0.419,-0.001,-0.403,0.745,-1.977,-1.885,-2.913,-3.488,-4.217,2.804,1.236,1.101,-4.555,0.4143645737753169,1.8589837277394337,0.7184204896855323,1.359766340221731,0.025455844,0.8633773798287743,0.40305086527633194,0.5777062402294093,0.7792316728675753,2.935907355486545
4,G11,sample,PPP2R1A,correct,Other,no,-3.67,-0.97,-1.24,-3.9,-1.3,0.65,-2.21,-2.59,5.61,2.94,114.2029646,137.3566297,384,79,49.39322917,46.55696203,0.56176132,0.573061344,33.59114583,24.86075949,115.7808414,199.7110246,654,427,55.52522936,36.51405152,0.540063974,0.538797751,31.67737003,29.59953162,0.916,0.825,0.492,0.338,0.854,0.874,1.08,1.11,0.998,0.783,0.952,1.17,0.695,0.559,0.943,0.965,1.06,1.01,0.961,0.934,-1.567,-2.703,-2.22,-2.048,-5.174,-1.545,6.684,4.649,-0.537,-4.539,-1.032,4.004,-2.207,-3.129,-2.173,-0.389,4.529,1.234,-1.939,-3.271,0.009192388,0.7643824304626579,0.3783021279348029,4.742565181418174,2.122027450340829,0.8174154390516488,1.5238151134570102,2.4147696577520597,0.9913637072235396,0.8966113985445421
3,L14,sample,RAN,correct,Other,no,-8.4,0.42,-7.73,-5.89,-11.7,-2.58,-6.11,-0.41,5.93,1.33,94.08274408,146.7336452,83,184,45.68072289,54.72282609,0.577169382,0.525891361,30.90361446,25.14130435,85.91937378,162.7896777,129,776,50.3875969,35.59471649,0.519255195,0.543393489,23.14728682,28.96005155,0.754,0.825,0.106,0.477,0.801,1.04,1.1,1.03,0.856,0.77,0.702,0.96,0.146,1,0.844,0.953,1.03,1.02,0.701,0.923,-10.858,-3.466,-5.083,-0.811,-7.42,0.976,9.092,1.422,-4.684,-7.494,-12.544,-1.693,-7.134,0,-9.371,-0.131,2.767,1.243,-10.779,-4.289,1.450276008213609,0.5734635995422901,1.192182033080519,1.253700323043749,1.3795653300949546,0.7827672067735081,4.472450391004914,0.1265721138323919,4.309815831332007,2.266277233702885
3,O03,sample,RSF1,correct,Other,no,0.56,-1.35,-2.57,-6.04,0.05,3.22,-0.39,-3.22,-0.43,5.36,121.4291922,190.8553582,661,107,55.67776097,48.34579439,0.526191446,0.564417643,34.94251135,26.89719626,119.8552233,198.5712551,677,397,60.00369276,37.71284635,0.506252472,0.547466426,30.40177253,28.94458438,0.974,1.07,0.847,0.278,0.977,0.923,1,1.11,0.968,0.824,0.98,1.17,0.768,0.512,1,1.01,1,1.03,0.92,0.922,0,1.337,-0.745,-2.089,0.936,-2.01,-1.092,7.065,-2.012,-6.647,0.106,5.1,-0.028,-4.361,0.188,-0.69,0.232,3.66,-3.124,-5.432,0.5069955621107546,1.6065466068558358,0.074953319,2.660842817604978,0.5289158723275376,0.9333809511662426,0.9362093782909888,2.4076985899401944,0.786302741,0.8591347391416552
2,C16,sample,SF3B1,correct,Other,no,-2.77,1.83,-4.32,-7.31,-2.91,1.72,-2.52,-1.77,7.44,0.83,108.7484866,189.1630256,240,137,51.37291667,48.84671533,0.575966199,0.534069546,28.7375,24.2189781,119.2166105,184.0660919,371,671,57.1671159,44.83159463,0.537797257,0.52644052,28.61725067,29.66020864,0.887,1.08,0.298,0.354,0.895,0.944,1.1,1.05,0.804,0.749,0.983,1.11,0.466,0.773,0.964,1.22,1.06,0.985,0.877,0.934,-4.142,0.66,-2.838,-2.106,-4.011,-1.524,8.761,3.967,-4.164,-10.289,-1.673,2.773,-2.205,-1.427,-1.53,5.191,6.122,-2.308,-4.476,-4.339,0.4475985924910846,0.4801255044256657,1.745846642749586,1.494116628647175,1.7543319241238244,4.748222035667666,1.8660547955512985,4.437095051945586,0.22061731573020305,4.2072853480599575
